Knowling,concert,2015-05-27,450130,2009-11-05
Rad,movie,1986-03-07,787778,2014-12-29
Christal,book,1971-10-09,375911,2004-02-10
Sikorski,TV show,1966-05-18,682324,2013-11-20
Decato,album,1986-09-24,256181,2014-03-12
Bryna,play,2019-04-02,99888,2014-03-23
Syd,play,1978-07-14,11077,2001-09-23
Sperling,album,1974-11-15,273162,2006-12-04
Hoban,commercial,2006-12-27,618736,2008-01-25
Ashely,song,1954-04-07,670987,2021-01-07
Faso,book,2009-05-01,368151,2004-07-16
Merell,album,1991-03-15,593914,2011-07-10
Faro,play,2011-07-16,401992,2015-11-15
Sibyls,song,2004-02-29,490674,2014-03-23
Leifeste,play,1987-01-15,309852,2019-04-20
Santoro,TV show,1978-05-28,960748,2008-03-31
Ortrude,play,2011-03-04,630965,2000-10-04
Schalles,book,1972-01-20,728457,2009-04-20
Rustice,movie,1974-05-23,682913,2003-03-22
Adamsen,book,1964-11-03,951339,2020-05-26
Korey,play,2010-06-07,737935,2017-10-08
Willie,play,1988-12-03,930203,2009-12-20
Newell,album,2001-11-15,742658,2000-10-08
Malanie,album,1972-01-04,739471,2006-09-08
Jacobah,song,1976-05-29,350157,2015-11-30
Argus,play,2016-05-15,839686,2015-05-25
Halla,play,1965-08-20,614639,2003-12-10
Lane,TV show,1990-12-28,295824,2002-06-03
Han,song,2001-05-13,720855,2017-06-05
Kauppi,TV show,1990-11-27,963203,2016-04-28
Olin,concert,1980-07-16,470770,2020-08-27
Artie,song,1970-05-26,14035,2017-09-07
Trinetta,song,1979-04-20,18965,2011-04-28
Orlene,song,2014-01-11,910482,2004-03-25
Dichy,song,1984-11-24,709336,2013-06-29
Kevon,book,1953-07-03,601632,2001-01-13
Morgun,song,1998-04-16,163136,2016-01-23
Gaal,song,1990-10-16,671148,2001-09-01
Cornelia,movie,1978-07-16,172548,2005-01-20
Kenney,album,2023-12-11,209969,2006-05-27
Federica,song,1985-09-09,38814,2013-07-01
Jorgan,movie,1985-10-08,685296,2018-03-23
Penelopa,song,1969-04-24,192981,2001-03-24
Mata,commercial,2011-07-08,144226,2011-05-31
Kravits,song,1961-04-07,847035,2016-11-05
Harriman,book,1979-03-20,641549,2000-02-26
Garbe,album,1979-12-04,771269,2011-06-14
Pitt,book,1961-02-22,761990,2013-01-05
Bearnard,commercial,1966-04-29,803399,2010-11-25
Tomasina,play,2021-01-07,87694,2002-10-30
Romelda,song,1995-07-09,567139,2013-03-29
Fitzsimmons,play,1964-06-05,296770,2013-05-18
Gunn,concert,1963-10-12,147764,2000-05-29
Tengdin,play,2020-12-28,82850,2018-07-19
Artie,concert,2012-06-14,76809,2003-09-13
Federica,song,1978-09-22,433420,2014-01-05
Zuzana,song,2024-02-26,386041,2015-04-26
Ilka,concert,1971-11-20,698629,2014-02-01
Leifeste,movie,1993-09-06,149921,2016-04-01
Trinetta,commercial,1969-07-29,955930,2016-05-21
Sacken,book,1987-02-04,309063,2018-06-19
Alrich,play,1982-08-17,86772,2015-06-01
Whittaker,TV show,1960-10-19,694203,2000-04-02
Kermit,book,1990-06-27,866405,2020-07-22
Concha,album,2021-07-10,838317,2009-12-13
Eldrid,album,1997-05-18,269969,2010-06-13
Briney,book,1970-01-01,252717,2015-06-30
Behre,concert,2017-10-22,468210,2015-08-17
Aaberg,TV show,1999-09-28,380810,2019-09-16
Rustice,concert,1966-05-05,85735,2013-11-25
McGrody,concert,1987-05-09,219982,2013-04-13
Dearborn,album,1973-09-17,289732,2003-04-15
Anton,book,1972-10-16,815956,2000-05-13
Katrine,album,1978-01-26,29743,2019-10-14
Edvard,book,1971-12-29,601881,2007-10-04
Hanleigh,commercial,2021-03-31,595759,2005-06-30
Magnolia,play,1967-11-07,411984,2007-11-20
Francene,TV show,1966-12-11,741705,2013-03-19
Henrie,song,1992-11-24,382525,2017-11-14
